Unnamed: 0,English,Turkish
7813,complications,komplikasyonlar
7814,scholars,bilim insanları
7815,dpi,dpi
7816,scripting,komut dosyası
7817,gis,coğrafi bilgi sistemi
7818,remembered,hatırlandı
7819,galaxy,gökada
7820,chester,Chester
7821,snapshot,anlık görüntü
7822,caring,önemseme
7823,loc,konum
7824,worn,yıpranmış
7825,synthetic,sentetik
7826,shaw,şal
7827,vp,başkan yardımcısı
7828,segments,segmentler
7829,testament,vasiyetname
7830,expo,fuar
7831,dominant,baskın
7832,twist,büküm
7833,specifics,özellikler
7834,itunes,iTunes
7835,stomach,karın
7836,partially,kısmen
7837,buried,gömülü
7838,cn,çin
7839,newbie,acemi
7840,minimize,en aza indirmek
7841,darwin,darwin
7842,ranks,rütbeler
7843,wilderness,vahşi doğa
7844,debut,ilk çıkış
7845,generations,nesiller
7846,tournaments,turnuvalar
7847,bradley,Bradley
7848,deny,reddetmek
7849,anatomy,anatomi
7850,bali,bali
7851,judy,Judy
7852,sponsorship,sponsorluk
7853,headphones,kulaklıklar
7854,fraction,kesir
7855,trio,üçlü
7856,proceeding,devam eden
7857,cube,küp
7858,defects,kusurlar
7859,volkswagen,Volkswagen
7860,uncertainty,belirsizlik
7861,breakdown,bozulma
7862,milton,Milton
7863,marker,işaretleyici
7864,reconstruction,yeniden yapılanma
7865,subsidiary,yan kuruluş
7866,strengths,güçlü yönleri
7867,clarity,netlik
7868,rugs,halılar
7869,sandra,Sandra
7870,adelaide,Adelaide
7871,encouraging,cesaretlendirici
7872,furnished,mobilyalı
7873,monaco,Monako
7874,settled,yerleşik
7875,folding,katlama
7876,emirates,emirlikler
7877,terrorists,teröristler
7878,airfare,uçak bileti
7879,comparisons,karşılaştırmalar
7880,beneficial,yararlı
7881,distributions,dağıtımlar
7882,vaccine,aşı
7883,belize,belize
7884,crap,saçmalık
7885,fate,kader
7886,viewpicture,resim görüntüle
7887,promised,söz verildi
7888,volvo,volvo
7889,penny,kuruş
7890,robust,sağlam
7891,bookings,rezervasyonlar
7892,threatened,tehdit edilmiş
7893,minolta,minolta
7894,republicans,cumhuriyetçiler
7895,discusses,tartışır
7896,gui,grafiksel kullanıcı arayüzü
7897,porter,hamal
7898,gras,ciğeri
7899,jungle,orman
7900,ver,ver
7901,rn,rn
7902,responded,cevap verdi
7903,rim,jant
7904,abstracts,özetler
7905,zen,Zen
7906,ivory,fildişi
7907,alpine,Alp dağları
7908,dis,bu
7909,prediction,tahmin
7910,pharmaceuticals,ilaçlar
7911,andale,andale
7912,fabulous,efsanevi
7913,remix,remiks
7914,alias,takma ad
7915,thesaurus,eş anlamlılar sözlüğü
7916,individually,bireysel olarak
7917,battlefield,savaş alanı
7918,literally,gerçekten
7919,newer,daha yeni
7920,kay,kay
7921,ecological,ekolojik
7922,spice,baharat
7923,oval,oval
7924,implies,ima eder
7925,cg,cg
7926,soma,soma
7927,ser,ser
7928,cooler,soğutucu
7929,appraisal,değerlendirme
7930,consisting,oluşan
7931,maritime,denizcilik
7932,periodic,periyodik
7933,submitting,teslim etmek
7934,overhead,tepegöz
7935,ascii,ascii
7936,prospect,olasılık
7937,shipment,sevkiyat
7938,breeding,üreme
7939,citations,alıntılar
7940,geographical,coğrafi
7941,donor,bağışçı
7942,mozambique,Mozambik
7943,tension,tansiyon
7944,href,href
7945,benz,benz
7946,trash,çöp
7947,shapes,şekiller
7948,wifi,Wifi
7949,tier,aşama
7950,fwd,ileri
7951,earl,kont
7952,manor,malikane
7953,envelope,mektup
7954,diane,diane
7955,homeland,vatan
7956,disclaimers,sorumluluk reddi beyanları
7957,championships,şampiyonluklar
7958,excluded,hariç tutulmuş
7959,andrea,andrea
7960,breeds,ırklar
7961,rapids,akıntılar
7962,disco,disko
7963,sheffield,Sheffield
7964,bailey,bailey
7965,aus,Avustralya
7966,endif,son
7967,finishing,bitirme
7968,emotions,duygular
7969,wellington,Wellington
7970,incoming,gelen
7971,prospects,beklentiler
7972,lexmark,Lexmark
7973,cleaners,temizlikçiler
7974,bulgarian,Bulgarca
7975,hwy,otoyol
7976,eternal,sonsuz
7977,cashiers,kasiyerler
7978,guam,Guam
7979,cite,alıntı yapmak
7980,aboriginal,yerli
7981,remarkable,dikkat çekici
7982,rotation,rotasyon
7983,nam,adı
7984,preventing,önleme
7985,productive,üretken
7986,boulevard,bulvar
7987,eugene,Eugene
7988,ix,dokuz
7989,gdp,gsyh
7990,pig,domuz
7991,metric,metrik
7992,compliant,uyumlu
7993,minus,eksi
7994,penalties,cezalar
7995,bennett,bennet
7996,imagination,hayal gücü
7997,hotmail,sıcak posta
7998,refurbished,yenilenmiş
7999,joshua,Joshua
8000,armenia,Ermenistan
8001,varied,çeşitli
8002,grande,büyük
8003,closest,en yakın
8004,activated,aktif hale getirildi
8005,actress,aktris
8006,mess,karışıklık
8007,conferencing,konferans
8008,assign,atamak
8009,armstrong,Armstrong
8010,politicians,politikacılar
8011,trackbacks,geri izlemeler
8012,lit,aydınlatılmış
8013,accommodate,barındırmak
8014,tigers,kaplanlar
8015,aurora,aurora
8016,una,bir
8017,slides,slaytlar
8018,milan,Milano
8019,premiere,galası
8020,lender,borç veren
8021,villages,köyler
8022,shade,gölge
8023,chorus,koro
8024,christine,Christine
8025,rhythm,ritim
8026,digit,rakam
8027,argued,savundu
8028,dietary,diyetsel
8029,symphony,senfoni
8030,clarke,clarke
8031,sudden,birden
8032,accepting,kabul etmek
8033,precipitation,yağış
8034,marilyn,Marilyn
8035,lions,aslanlar
8036,findlaw,kanun bul
8037,ada,ada
8038,pools,havuzlar
8039,tb,tb
8040,lyric,lirik
8041,claire,Claire
8042,isolation,izolasyon
8043,speeds,hızlar
8044,sustained,sürdürülen
8045,matched,eşleşti
8046,approximate,yaklaşık
8047,rope,halat
8048,carroll,carroll
8049,rational,akılcı
8050,programmer,programcı
8051,fighters,savaşçılar
8052,chambers,odalar
8053,dump,çöplük
8054,greetings,selamlar
8055,inherited,miras kalan
8056,warming,ısınma
8057,incomplete,eksik
8058,vocals,vokaller
8059,chronicle,kronik
8060,fountain,çeşme
8061,chubby,hantal
8062,grave,mezar
8063,legitimate,meşru
8064,biographies,biyografiler
8065,burner,brülör
8066,yrs,yıllar
8067,foo,foo
8068,investigator,araştırmacı
8069,gba,GBA
8070,plaintiff,davacı
8071,finnish,Fince
8072,gentle,nazik
8073,bm,bm
8074,prisoners,mahkumlar
8075,deeper,Daha derine
8076,muslims,Müslümanlar
8077,hose,hortum
8078,mediterranean,Akdeniz
8079,nightlife,gece hayatı
8080,footage,görüntüler
8081,howto,nasıl yapılır
8082,worthy,saygıdeğer
8083,reveals,ortaya çıkarır
8084,architects,mimarlar
8085,saints,azizler
8086,entrepreneur,girişimci
8087,carries,taşır
8088,sig,imza
8089,freelance,serbest çalışan
8090,duo,ikili
8091,excessive,aşırı
8092,devon,devon
8093,screensaver,Ekran koruyucusu
8094,helena,Helena
8095,saves,kaydeder
8096,regarded,addedilen
8097,valuation,değerleme
8098,unexpected,beklenmedik
8099,cigarette,sigara
8100,fog,sis
8101,characteristic,karakteristik
8102,marion,Marion
8103,lobby,lobi
8104,egyptian,Mısırlı
8105,tunisia,Tunus
8106,metallica,Metallica
8107,outlined,ana hatları belirlenmiş
8108,consequently,sonuç olarak
8109,headline,başlık
8110,treating,tedavi etmek
8111,punch,yumruk
8112,appointments,randevular
8113,str,str
8114,gotta,zorundayım
8115,cowboy,kovboy
8116,narrative,anlatı
8117,bahrain,Bahreyn
8118,enormous,kocaman
8119,karma,karma
8120,consist,meydana gelmek
8121,betty,betty
8122,queens,kraliçeler
8123,academics,akademisyenler
8124,pubs,barlar
8125,quantitative,nicel
8126,shemales,travestiler
8127,lucas,Lucas
8128,screensavers,ekran koruyucular
8129,subdivision,alt bölüm
8130,tribes,kabileler
8131,vip,vip
8132,defeat,yenmek
8133,clicks,tıklamalar
8134,distinction,ayrım
8135,honduras,Honduras
8136,naughty,yaramaz
8137,hazards,tehlikeler
8138,insured,sigortalı
8139,harper,harpçı
8140,livestock,hayvancılık
8141,mardi,pazar
8142,exemption,muafiyet
8143,tenant,kiracı
8144,sustainability,sürdürülebilirlik
8145,cabinets,dolaplar
8146,tattoo,dövme
8147,shake,sallamak
8148,algebra,cebir
8149,shadows,gölgeler
8150,holly,çobanpüskülü
8151,formatting,biçimlendirme
8152,silly,şapşal
8153,nutritional,beslenme
8154,yea,evet
8155,mercy,merhamet
8156,hartford,Hartford
8157,freely,serbestçe
8158,marcus,Marcus
8159,sunrise,Güneşin doğuşu
8160,wrapping,sarma
8161,mild,hafif
8162,fur,kürk
8163,nicaragua,Nikaragua
8164,weblogs,web günlükleri
8165,timeline,zaman çizelgesi
8166,tar,katran
8167,belongs,ait
8168,rj,rj
8169,readily,kolayca
8170,affiliation,bağlılık
8171,soc,toplum
8172,fence,çit
8173,nudist,çıplaklar
8174,infinite,sonsuz
8175,diana,Diana
8176,ensures,sağlar
8177,relatives,akrabalar
8178,lindsay,lindsay
8179,clan,klan
8180,legally,yasal olarak
8181,shame,utanç
8182,satisfactory,tatmin edici
8183,revolutionary,devrimci
8184,bracelets,bilezikler
8185,sync,senkronizasyon
8186,civilian,sivil
8187,telephony,telefon
8188,mesa,yayla
8189,fatal,ölümcül
8190,remedy,çare
8191,realtors,emlakçılar
8192,breathing,nefes alma
8193,briefly,kısaca
8194,thickness,kalınlık
8195,adjustments,ayarlamalar
8196,graphical,grafiksel
8197,genius,dahi
8198,discussing,tartışıyor
8199,aerospace,havacılık ve uzay
8200,fighter,savaşçı
8201,meaningful,anlamlı
8202,flesh,et
8203,retreat,geri çekilme
8204,adapted,uyarlanmış
8205,barely,neredeyse
8206,wherever,her nerede
8207,estates,mülkler
8208,rug,kilim
8209,democrat,demokrat
8210,borough,ilçe
8211,maintains,korur
8212,failing,başarısız
8213,shortcuts,kısayollar
8214,ka,ka
8215,retained,tutuldu
8216,voyeurweb,röntgenci ağı
8217,pamela,pamela
8218,andrews,andrewler
8219,marble,mermer
8220,extending,uzanan
8221,jesse,Jesse
8222,specifies,belirtir
8223,hull,gövde
8224,logitech,Logitech
8225,surrey,Surrey
8226,briefing,brifing
8227,belkin,belkin
8228,dem,dem
8229,accreditation,akreditasyon
8230,wav,dalga
8231,blackberry,böğürtlen
8232,highland,yayla
8233,meditation,meditasyon
8234,modular,modüler
8235,microphone,mikrofon
8236,macedonia,Makedonya
8237,combining,birleştirerek
8238,brandon,Brandon
8239,instrumental,enstrümantal
8240,giants,devler
8241,organizing,organize etmek
8242,shed,baraka
8243,balloon,balon
8244,moderators,moderatörler
8245,winston,Winston
8246,memo,hafıza
8247,ham,jambon
8248,solved,çözüldü
8249,tide,gelgit
8250,kazakhstan,kazakistan
8251,hawaiian,Hawaiili
8252,standings,sıralamalar
8253,partition,bölme
8254,invisible,görünmez
8255,gratuit,ücretsiz
8256,consoles,konsollar
8257,funk,funk
8258,fbi,FBI
8259,qatar,Katar
8260,magnet,mıknatıs
8261,translations,çeviriler
8262,porsche,Porsche
8263,cayman,kayman
8264,jaguar,jaguar
8265,reel,makara
8266,sheer,saf
8267,commodity,emtia
8268,posing,poz verme
8269,wang,wang
8270,kilometers,kilometre
8271,rp,rp
8272,bind,bağlamak
8273,thanksgiving,şükran
8274,rand,rand
8275,hopkins,Hopkins
8276,urgent,acil
8277,guarantees,garantiler
8278,infants,bebekler
8279,gothic,gotik
8280,cylinder,silindir
8281,witch,cadı
8282,buck,erkek geyik
8283,indication,gösterge
8284,eh,ha
8285,congratulations,Tebrikler
8286,tba,tba
8287,cohen,Cohen
8288,sie,sie
8289,usgs,USGS
8290,puppy,yavru köpek
8291,kathy,Kathy
8292,acre,dönüm
8293,graphs,grafikler
8294,surround,çevrelemek
8295,cigarettes,sigaralar
8296,revenge,intikam
8297,expires,süresi doluyor
8298,enemies,düşmanlar
8299,lows,düşükler
8300,controllers,kontrolörler
8301,aqua,su
8302,chen,chen
8303,emma,Emma
8304,consultancy,danışmanlık
8305,finances,maliye
8306,accepts,kabul eder
8307,enjoying,tadını çıkarmak
8308,conventions,sözleşmeler
8309,eva,eva
8310,patrol,devriye
8311,smell,koku
8312,pest,zararlı
8313,hc,hc
8314,italiano,İtalyanca
8315,coordinates,koordinatlar
8317,fp,fp
8318,carnival,karnaval
8319,roughly,kabaca
8320,sticker,çıkartma
8321,promises,vaatler
8322,responding,cevap veren
8323,reef,resif
8324,physically,fiziksel olarak
8325,divide,bölmek
8326,stakeholders,paydaşlar
8327,hydrocodone,hidrokodon
8328,gst,gst
8329,consecutive,ardışık
8330,cornell,Cornell
8331,satin,saten
8332,bon,iyi
8333,deserve,hak etmek
8334,attempting,deneme
8335,mailto,mailto
8336,promo,promosyon
8337,jj,jj
8338,representations,temsiller
8339,chan,chan
8340,worried,endişeli
8341,tunes,melodiler
8342,garbage,çöp
8343,competing,rekabet eden
8344,combines,birleştirir
8345,mas,mas
8346,beth,Beth
8347,bradford,bradford
8348,len,uzun
8349,phrases,cümleler
8350,kai,kai
8351,peninsula,yarımada
8352,chelsea,Chelsea
8353,boring,sıkıcı
8354,reynolds,reynoldlar
8355,dom,egemen
8356,jill,Jill
8357,accurately,doğru bir şekilde
8358,speeches,konuşmalar
8359,reaches,ulaşır
8360,schema,şema
8361,considers,düşünür
8362,sofa,divan
8363,catalogs,kataloglar
8364,ministries,bakanlıklar
8365,vacancies,boş pozisyonlar
8366,quizzes,sınavlar
8367,parliamentary,parlamenter
8368,obj,nesne
8369,prefix,önek
8370,lucia,Lucia
8371,savannah,savan
8372,barrel,varil
8373,typing,yazarak
8374,nerve,sinir
8375,dans,dans
8376,planets,gezegenler
8377,deficit,açık
8378,boulder,kaya
8379,pointing,işaret eden
8380,renew,yenilemek
8381,coupled,birleştirilmiş
8382,viii,viii
8383,myanmar,Myanmar
8384,metadata,meta veri
8385,harold,Harold
8386,circuits,devreler
8387,floppy,disket
8388,texture,doku
8389,handbags,çantalar
8390,jar,kavanoz
8391,ev,ev
8392,somerset,Somerset
8393,incurred,tahakkuk etmiş
8394,acknowledge,kabullenmek
8395,thoroughly,iyice
8396,antigua,antika
8397,nottingham,Nottingham
8398,thunder,gök gürültüsü
8399,tent,çadır
8400,caution,Dikkat
8401,identifies,tanımlar
8402,questionnaire,anket
8403,qualification,vasıf
8404,locks,kilitler
8405,modelling,modelleme
8406,namely,yani
8407,miniature,minyatür
8408,dept,bölüm
8409,hack,kesmek
8410,dare,cesaret etmek
8411,euros,avro
8412,interstate,eyaletler arası
8413,pirates,korsanlar
8414,aerial,hava
8415,hawk,şahin
8416,consequence,sonuçlar
8417,rebel,isyancı
8418,systematic,sistematik
8419,perceived,algılanan
8420,origins,kökenleri
8421,hired,kiralandı
8422,makeup,makyaj yapmak
8423,textile,tekstil
8424,lamb,kuzu
8425,madagascar,Madagaskar
8426,nathan,nathan
8427,tobago,Tobago
8428,presenting,sunum
8429,cos,çünkü
8430,troubleshooting,sorun giderme
8431,uzbekistan,Özbekistan
8432,indexes,endeksler
8433,pac,pac
8434,rl,rl
8435,erp,erp
8436,centuries,yüzyıllar
8437,gl,iyi günler
8438,magnitude,büyüklük
8439,ui,kullanıcı arayüzü
8440,richardson,Richardson
8441,hindu,Hindu
8442,dh,dh
8443,fragrances,kokular
8444,vocabulary,kelime bilgisi
8445,licking,yalama
8446,earthquake,deprem
8447,vpn,vpn
8448,fundraising,bağış toplama
8449,fcc,fcc
8450,markers,işaretleyiciler
8451,weights,ağırlıklar
8452,albania,Arnavutluk
8453,geological,jeolojik
8454,assessing,değerlendirme
8455,lasting,kalıcı
8456,wicked,kötü
8457,eds,editörler
8458,introduces,tanıtır
8459,kills,öldürür
8460,roommate,oda arkadaşı
8461,webcams,web kameraları
8462,pushed,itilmiş
8463,webmasters,web yöneticileri
8464,ro,ro
8465,df,df
8466,computational,hesaplamalı
8467,acdbentity,acdbentity
8468,participated,katıldı
8469,junk,hurda
8470,handhelds,el bilgisayarları
8471,wax,balmumu
8472,lucy,Lucy
8473,answering,cevaplama
8474,hans,hans
8475,impressed,etkilenmiş
8476,slope,eğim
8477,reggae,reggae
8478,failures,başarısızlıklar
8479,poet,şair
8480,conspiracy,komplo
8481,surname,soyadı
8482,theology,teoloji
8483,nails,tırnaklar
8484,evident,belirgin
8485,whats,ne
8486,rides,sürüşler
8487,rehab,rehabilitasyon
8488,epic,destansı
8489,saturn,Satürn
8490,organizer,organizatör
8491,nut,ceviz
8492,allergy,alerji
8493,sake,hatır
8494,twisted,bükülmüş
8495,combinations,kombinasyonlar
8496,preceding,önceki
8497,merit,liyakat
8498,enzyme,enzim
8499,cumulative,kümülatif
8500,zshops,zshops
8501,planes,uçaklar
8502,edmonton,Edmonton'da
8503,tackle,olta takımı
8504,disks,diskler
8505,condo,apartman dairesi
8506,pokemon,Pokemon
8507,amplifier,amplifikatör
8508,ambien,ambiyen
8509,arbitrary,keyfi
8510,prominent,öne çıkan
8511,retrieve,geri almak
8512,lexington,Lexington'da
8513,vernon,Vernon
8514,sans,sans
8515,worldcat,dünya kedisi
8516,titanium,titanyum
8517,irs,IRS
8518,fairy,peri
8519,builds,yapılar
8520,contacted,temasa geçildi
8521,shaft,şaft
8522,lean,eğilmek
8523,bye,hoşça kal
8524,cdt,cdt
8525,recorders,kayıt cihazları
8526,occasional,ara sıra
8527,leslie,Leslie
8528,casio,Casio
8529,deutsche,Almanca
8530,ana,ana
8531,postings,gönderiler
8532,innovations,yenilikler
8533,kitty,kedi
8534,postcards,kartpostallar
8535,dude,dostum
8536,drain,boşaltmak
8537,monte,dağ
8538,fires,yangınlar
8539,algeria,Cezayir
8540,blessed,kutsanmış
8541,luis,Luis
8542,reviewing,gözden geçirme
8543,cardiff,Cardiff'li
8544,cornwall,Cornwall
8545,favors,iyilikler
8546,potato,patates
8547,panic,panik
8548,explicitly,açıkça
8549,sticks,çubuklar
8550,leone,leone
8551,transsexual,transeksüel
8552,ez,ez
8553,citizenship,vatandaşlık
8554,excuse,mazeret
8555,reforms,reformlar
8556,basement,bodrum
8557,onion,soğan
8558,strand,ip
8559,pf,sf
8560,sandwich,sandviç
8561,uw,sen
8562,lawsuit,dava
8563,alto,alto
8564,informative,bilgilendirici
8565,girlfriend,kız arkadaş
8566,bloomberg,bloomberg
8567,cheque,kontrol etmek
8568,hierarchy,hiyerarşi
8569,influenced,etkilenmiş
8570,banners,pankartlar
8571,reject,reddetmek
8572,eau,su
8573,abandoned,terk edilmiş
8574,bd,bd
8575,circles,daireler
8576,italic,italik
8577,beats,vuruşlar
8578,merry,şen
8579,mil,mil
8580,scuba,tüplü dalış
8581,gore,kan
8582,complement,tamamlayıcı
8583,cult,tarikat
8584,dash,çizgi
8585,passive,pasif
8586,mauritius,Mauritius
8587,valued,değerli
8588,cage,kafes
8589,checklist,kontrol listesi
8590,bangbus,bangbus
8591,requesting,talep eden
8592,courage,cesaret
8593,verde,yeşil
8594,lauderdale,Lauderdale
8595,scenarios,senaryolar
8596,gazette,gazete
8597,hitachi,Hitachi
8598,divx,divx
8599,extraction,çıkarma
8600,batman,yarasa adam
8601,elevation,yükseklik
8602,hearings,duruşmalar
8603,coleman,Coleman
8604,hugh,kocaman
8605,lap,kucak
8606,utilization,kullanım
8607,beverages,içecekler
8608,calibration,kalibrasyon
8609,jake,Jake
8610,eval,Değerlendirmek
8611,efficiently,verimli bir şekilde
8612,anaheim,Anaheim
8613,ping,ping
8614,textbook,ders kitabı
8615,dried,kurutulmuş
8616,entertaining,eğlenceli
8617,prerequisite,ön koşul
8618,luther,Luter
8619,frontier,sınır
8620,settle,yerleşmek
8621,stopping,durdurma
8622,refugees,mülteciler
8623,knights,şövalyeler
8624,hypothesis,hipotez
8625,palmer,palmiye
8626,medicines,ilaçlar
8627,flux,akı
8628,derby,derbi
8629,sao,sao
8630,peaceful,barışçıl
8631,altered,değiştirilmiş
8632,pontiac,Pontiac
8633,regression,gerileme
8634,doctrine,doktrin
8635,scenic,manzaralı
8636,trainers,eğitmenler
8637,muze,müze
8638,enhancements,geliştirmeler
8639,renewable,yenilenebilir
8640,intersection,kavşak
8641,passwords,şifreler
8642,sewing,dikiş
8643,consistency,tutarlılık
8644,collectors,koleksiyoncular
8645,conclude,sonuçlandırmak
8646,recognised,tanınan
8647,munich,Münih
8648,oman,Umman
8649,celebs,ünlüler
8650,gmc,gmc
8651,propose,önermek
8652,hh,hh
8653,azerbaijan,azerbaycan
8654,lighter,daha hafif
8655,rage,öfkelenmek
8656,adsl,adsl
8657,uh,uh
8658,prix,fiyat
8659,astrology,astroloji
8660,advisors,danışmanlar
8661,pavilion,köşk
8662,tactics,taktikler
8663,trusts,vakıflar
8664,occurring,meydana gelen
8665,supplemental,ek
8666,travelling,seyahat
8667,talented,yetenekli
8668,annie,Annie
8669,pillow,yastık
8670,induction,indüksiyon
8671,derek,derek
8672,precisely,açık olarak
8673,shorter,daha kısa
8674,harley,harley
8675,spreading,yayılıyor
8676,provinces,iller
8677,relying,güvenerek
8678,finals,finaller
8679,paraguay,Paraguay
8680,steal,hırsızlık yapmak
8681,parcel,parsel
8682,refined,rafine
8683,fd,fd
8684,bo,Bö
8685,fifteen,onbeş
8686,widespread,yaygın
8687,incidence,olay
8688,fears,korkular
8689,predict,tahmin etmek
8690,boutique,butik
8691,acrylic,akrilik
8692,rolled,haddelenmiş
8693,tuner,tuner
8694,avon,avon
8695,incidents,olaylar
8696,peterson,Peterson
8697,rays,ışınlar
8698,asn,asn
8699,shannon,Shannon
8700,toddler,yürümeye başlayan çocuk
8701,enhancing,geliştirme
8702,flavor,lezzet
8703,alike,benzer
8704,walt,vals
8705,homeless,evsiz
8706,horrible,berbat
8707,hungry,aç
8708,metallic,metalik
8709,acne,akne
8710,blocked,engellendi
8711,interference,parazit yapmak
8712,warriors,savaşçılar
8713,palestine,Filistin
8714,listprice,liste fiyatı
8715,libs,kütüphaneler
8716,undo,geri al
8717,cadillac,Cadillac
8718,atmospheric,atmosferik
8719,malawi,Malawi
8720,wm,wm
8721,pk,pk
8722,sagem,sagem
8723,knowledgestorm,bilgi fırtınası
8724,dana,dana
8725,halo,hale
8726,ppm,ppm
8727,curtis,Curtis
8728,parental,ebeveyn
8729,referenced,başvurulan
8730,strikes,grevler
8731,lesser,daha az
8732,publicity,tanıtım
8733,marathon,maraton
8734,ant,karınca
8735,proposition,teklif
8736,gays,eşcinseller
8737,pressing,basarak
8738,gasoline,benzin
8739,apt,uygun
8740,dressed,giyinmiş
8741,scout,izci
8742,belfast,Belfast
8743,exec,yönetici
8744,dealt,dağıtıldı
8745,niagara,Niagara
8746,inf,inf
8747,eos,eos
8748,warcraft,savaş gemisi
8749,charms,cazibeler
8750,catalyst,katalizör
8751,trader,tüccar
8752,bucks,dolarlar
8753,allowance,ödenek
8754,vcr,video kaydedici
8755,denial,inkar
8756,uri,uri
8757,designation,atama
8758,thrown,atılmış
8759,prepaid,ön ödemeli
8760,raises,yükseltir
8761,gem,mücevher
8762,duplicate,kopyalamak
8763,electro,elektro
8764,criterion,kriter
8765,badge,rozet
8766,wrist,bilek
8767,civilization,medeniyet
8768,analyzed,analiz edildi
8769,vietnamese,Vietnam
8770,heath,funda
8771,tremendous,muazzam
8772,ballot,oy pusulası
8773,lexus,Lexus
8774,varying,değişen
8775,remedies,çareler
8776,validity,geçerlilik
8777,trustee,mütevelli
8778,maui,Maui
8779,handjobs,el işleri
8780,weighted,ağırlıklı
8781,angola,Angola
8782,squirt,fışkırtma
8783,performs,performans sergiliyor
8784,plastics,plastikler
8785,realm,alem
8786,corrected,düzeltildi
8787,jenny,Jenny
8788,helmet,kask
8789,salaries,maaşlar
8790,postcard,kartpostal
8791,elephant,fil
8792,yemen,Yemen
8793,encountered,Karşılaşılan
8794,tsunami,tsunami
8795,scholar,bilgin
8796,nickel,nikel
8797,internationally,uluslararası
8798,surrounded,çevrili
8799,psi,psi
8800,buses,otobüsler
8801,expedia,expedia
8802,geology,jeoloji
8803,pct,yüzde
8804,wb,wb
8805,creatures,yaratıklar
8806,coating,kaplama
8807,commented,yorumlandı
8808,wallet,cüzdan
8809,cleared,temizlendi
8810,smilies,gülümsemeler
8811,vids,videolar
8812,accomplish,sonuçlandırmak
8813,boating,tekne gezisi
8814,drainage,drenaj
8815,shakira,Shakira
8816,corners,köşeler
8817,broader,daha geniş
8818,vegetarian,vejetaryen
8819,rouge,kırmızı
8820,yeast,maya
8821,yale,yale
8822,newfoundland,Newfoundland
8823,sn,sn
8824,qld,Queensland
8825,pas,geçmiş
8826,clearing,temizleme
8827,investigated,araştırıldı
8828,dk,dk
8829,ambassador,büyükelçi
8830,coated,kaplanmış
8831,intend,niyet etmek
8832,stephanie,Stephanie
8833,contacting,iletişim
8834,vegetation,bitki örtüsü
8835,doom,kıyamet
8836,findarticles,makale bul
8837,louise,Louise
8838,kenny,kenny
8839,specially,özellikle
8840,owen,Owen
8841,routines,rutinler
8842,hitting,vurmak
8843,yukon,Yukon
8844,beings,varlıklar
8845,bite,ısırmak
8846,issn,issn
8847,aquatic,su
8848,reliance,güven
8849,habits,alışkanlıklar
8850,striking,çarpıcı
8851,myth,efsane
8852,infectious,bulaşıcı
8853,podcasts,podcast'ler
8854,singh,singh
8855,gig,konser
8856,gilbert,gilbert
8857,sas,sas
8858,ferrari,Ferrari
8859,continuity,süreklilik
8860,brook,dere
8861,fu,fu
8862,outputs,çıktılar
8863,phenomenon,fenomen
8864,ensemble,topluluk
8865,insulin,insülin
8866,assured,emin olunan
8867,biblical,İncil'e ait
8868,weed,esrar
8869,conscious,bilinçli
8870,accent,aksan
8871,mysimon,benimsimon
8872,eleven,onbir
8873,wives,eşler
8874,ambient,ortam
8875,utilize,faydalanmak
8876,mileage,kilometre
8877,oecd,OECD
8878,prostate,prostat
8879,adaptor,adaptör
8880,auburn,kızıl
8881,unlock,kilidini aç
8882,hyundai,Hyundai
8883,pledge,söz vermek
8884,vampire,vampir
8885,angela,Angela
8886,relates,ilgili
8887,nitrogen,azot
8888,xerox,fotokopi
8889,dice,zar
8890,merger,birleşme
8891,softball,softbol
8892,referrals,yönlendirmeler
8893,quad,dörtlü
8894,dock,rıhtım
8895,differently,farklı şekilde
8896,firewire,yangın teli
8897,mods,modlar
8898,nextel,Nextel
8899,framing,çerçeveleme
8900,organised,organize edilmiş
8901,musician,müzisyen
8902,blocking,engelleme
8903,rwanda,Ruanda
8904,sorts,çeşitler
8905,integrating,entegre ederek
8906,vsnet,vsnet
8907,limiting,sınırlayıcı
8908,dispatch,sevk etmek
8909,revisions,revizyonlar
8910,papua,Papua
8911,restored,restore edilmiş
8912,hint,ipucu
8913,armor,zırh
8914,riders,biniciler
8915,chargers,şarj cihazları
8916,remark,açıklama
8917,dozens,düzinelerce
8918,varies,değişir
8919,msie,msie
8920,reasoning,muhakeme
8921,wn,wn
8922,liz,liz
8923,rendered,işlenmiş
8924,picking,toplama
8925,charitable,hayırsever
8926,guards,muhafızlar
8927,annotated,açıklamalı
8928,ccd,ccd
8929,sv,sv
8930,convinced,ikna edilmiş
8931,openings,açılışlar
8932,buys,satın alır
8933,burlington,Burlington
8934,replacing,yerine geçen
8935,researcher,araştırmacı
8936,watershed,su havzası
8937,councils,konseyler
8938,occupations,meslekler
8939,acknowledged,kabul edildi
8940,nudity,çıplaklık
8941,kruger,kruger
8942,pockets,cepler
8943,granny,büyükanne
8944,pork,domuz eti
8945,zu,zu
8946,equilibrium,denge
8947,viral,viral
8948,inquire,soruşturmak
8949,pipes,borular
8950,characterized,karakterize edilmiş
8951,laden,yüklü
8952,aruba,Aruba
8953,cottages,evler
8954,realtor,emlakçı
8955,merge,birleştirmek
8956,privilege,ayrıcalık
8957,edgar,Edgar
8958,develops,gelişir
8959,qualifying,nitelikli
8960,chassis,şasi
8961,dubai,Dubai
